ARPU,ARPU_missing,ARPU_imputed_median,ARPU_log1p,ARPU_zscore,ARPU_iqr_outlier,CHURN,churn_binary
11.54,0,11.54,2.5289235352047745,-0.5653961371073596,0,No,0
7.7,0,7.7,2.163323025660538,-0.7336846780903962,0,No,0
15.44,0,15.44,2.7997173896280336,-0.394478087671463,0,No,0
23.17,0,23.17,3.1851121947153915,-0.05570974866133968,0,No,0
9.27,0,9.27,2.329227023940467,-0.6648792069072276,0,No,0
11.58,0,11.58,2.5321082512722946,-0.5636431314721195,0,No,0
15.5,0,15.5,2.803360380906535,-0.391848579218603,0,No,0
15.5,0,15.5,2.803360380906535,-0.391848579218603,0,No,0
46.5,0,46.5,3.8607297110405954,0.9667307880923697,0,No,0
15.5,0,15.5,2.803360380906535,-0.391848579218603,0,No,0
11.63,0,11.63,2.5360749363624,-0.5614518744280695,0,No,0
9.33,0,9.33,2.3350522831315472,-0.6622496984543675,0,No,0
15.56,0,15.56,2.8069901489571136,-0.389219070765743,0,No,0
11.67,0,11.67,2.5392369943330477,-0.5596988687928296,0,No,0
15.56,0,15.56,2.8069901489571136,-0.389219070765743,0,No,0
15.61,0,15.61,2.8100049236252036,-0.38702781372169315,0,No,0
15.61,0,15.61,2.8100049236252036,-0.38702781372169315,0,No,0
4.7,0,4.7,1.7404661748405046,-0.8651601007333936,0,No,0
15.67,0,15.67,2.813610696762703,-0.3843983052688332,0,No,0
7.83,0,7.83,2.178155014615869,-0.7279874097758662,0,No,0
11.75,0,11.75,2.545531271604435,-0.5561928575223497,0,No,0
15.67,0,15.67,2.813610696762703,-0.3843983052688332,0,No,0
15.67,0,15.67,2.813610696762703,-0.3843983052688332,0,No,0
15.72,0,15.72,2.8166056076565553,-0.3822070482247832,0,No,0
7.86,0,7.86,2.1815467646169897,-0.7266726555494363,0,No,0
47.17,0,47.17,3.8747364206421295,0.9960936324826392,1,No,0
15.72,0,15.72,2.8166056076565553,-0.3822070482247832,0,No,0
11.79,0,11.79,2.548663615590751,-0.5544398518871098,0,No,0
9.44,0,9.44,2.3456445824544927,-0.6574289329574576,0,No,0
47.33,0,47.33,3.8780524858569927,1.0031056550235988,1,No,0
11.83,0,11.83,2.551786178627545,-0.5526868462518698,0,No,0
15.78,0,15.78,2.8201877010390604,-0.37957753977192327,0,No,0
11.83,0,11.83,2.551786178627545,-0.5526868462518698,0,No,0
7.89,0,7.89,2.1849270495258133,-0.7253579013230063,0,No,0
11.88,0,11.88,2.5556757206762075,-0.5504955892078198,0,No,0
23.75,0,23.75,3.2088254890146994,-0.030291166950360267,0,No,0
23.75,0,23.75,3.2088254890146994,-0.030291166950360267,0,No,0
11.88,0,11.88,2.5556757206762075,-0.5504955892078198,0,No,0
9.5,0,9.5,2.3513752571634776,-0.6547994245045977,0,No,0
15.83,0,15.83,2.8231630082027146,-0.3773862827278733,0,No,0
11.9,0,11.9,2.5572273113676265,-0.5496190863901999,0,No,0
11.92,0,11.92,2.558776498354456,-0.5487425835725799,0,No,0
7.95,0,7.95,2.191653532286764,-0.7227283928701463,0,No,0
9.53,0,9.53,2.354228326145884,-0.6534846702781678,0,No,0
15.89,0,15.89,2.826721730819709,-0.3747567742750133,0,No,0
11.96,0,11.96,2.561867690924129,-0.5469895779373398,0,No,0
7.97,0,7.97,2.1938856760707046,-0.7218518900525264,0,No,0
23.92,0,23.92,3.2156706939192525,-0.02284089300059034,0,No,0
9.57,0,9.57,2.3580197998821464,-0.6517316646429278,0,No,0
15.94,0,15.94,2.8296776892239084,-0.37256551723096343,0,No,0
9.6,0,9.6,2.3608540011180215,-0.6504169104164979,0,No,0
9.6,0,9.6,2.3608540011180215,-0.6504169104164979,0,No,0
