case_label,variant,model,scenario,fn_cost,fp_cost,retention_rate,threshold,expected_net_value,tp,fp,fn,tn,recall,precision,f1
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.93,-30.0,0,1,109,1578,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.94,-30.0,0,1,109,1578,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.95,-30.0,0,1,109,1578,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.96,-30.0,0,1,109,1578,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.97,-30.0,0,1,109,1578,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.98,-30.0,0,1,109,1578,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.99,-30.0,0,1,109,1578,0.0,0.0,0.0
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.01,159720.0,107,1558,2,21,0.981651376146789,0.06426426426426426,0.12063134160090191
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.02,159840.0,107,1557,2,22,0.981651376146789,0.06430288461538461,0.12069937958262832
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.03,161040.0,107,1547,2,32,0.981651376146789,0.06469165659008465,0.12138400453771979
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.04,159240.0,106,1535,3,44,0.9724770642201835,0.06459475929311395,0.12114285714285715
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.05,160080.0,106,1528,3,51,0.9724770642201835,0.06487148102815178,0.12162937464142283
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.06,157800.0,105,1520,4,59,0.963302752293578,0.06461538461538462,0.12110726643598616
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.07,155520.0,104,1512,5,67,0.9541284403669725,0.06435643564356436,0.12057971014492753
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.08,156120.0,104,1507,5,72,0.9541284403669725,0.06455617628801986,0.12093023255813953
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.09,157080.0,104,1499,5,80,0.9541284403669725,0.06487835308796007,0.12149532710280374
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.1,151800.0,102,1489,7,90,0.9357798165137615,0.06411062225015714,0.12
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.11,152880.0,102,1480,7,99,0.9357798165137615,0.06447534766118837,0.12063867534003549
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.12,150360.0,101,1474,8,105,0.926605504587156,0.06412698412698413,0.11995249406175772
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.13,151320.0,101,1466,8,113,0.926605504587156,0.06445437141033823,0.12052505966587113
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.14,152040.0,101,1460,8,119,0.926605504587156,0.0647021140294683,0.12095808383233533
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.15,146880.0,99,1449,10,130,0.908256880733945,0.06395348837209303,0.11949305974652988
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.16,148320.0,99,1437,10,142,0.908256880733945,0.064453125,0.12036474164133738
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.17,150480.0,99,1419,10,160,0.908256880733945,0.06521739130434782,0.12169637369391519
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.18,147840.0,97,1387,12,192,0.8899082568807339,0.06536388140161725,0.12178279974890144
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.19,150720.0,97,1363,12,216,0.8899082568807339,0.06643835616438357,0.12364563416188655
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.2,151200.0,96,1332,13,247,0.8807339449541285,0.06722689075630252,0.12491867273910215
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.21,151800.0,95,1300,14,279,0.8715596330275229,0.06810035842293907,0.12632978723404256
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.22,152280.0,94,1269,15,310,0.8623853211009175,0.06896551724137931,0.12771739130434784
