variant,model,train_data,threshold,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,average_precision,mcc,tp,fp,fn,tn
with_billing_zip,LogisticRegression_SMOTE,resampled,0.36,0.13454075032341525,0.47706422018348627,0.0783132530120482,0.6034380557202134,0.5446157602818572,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.04490174152828306,52,612,57,966
with_billing_zip,LogisticRegression_SMOTE,resampled,0.29,0.13419117647058823,0.6697247706422018,0.0745658835546476,0.44161232957913454,0.5477901419750932,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.04761316923924185,73,906,36,672
with_billing_zip,LogisticRegression_SMOTE,resampled,0.38,0.13333333333333333,0.42201834862385323,0.07917383820998279,0.6455245998814464,0.541490796618644,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.042932174678129376,46,535,63,1043
with_billing_zip,LogisticRegression_SMOTE,resampled,0.39,0.13333333333333333,0.3944954128440367,0.08022388059701492,0.6686425607587433,0.5410373135196103,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.04333667725149907,43,493,66,1085
with_billing_zip,LogisticRegression_SMOTE,resampled,0.27,0.13254035683942225,0.7155963302752294,0.07303370786516854,0.3947836395969176,0.544109952209858,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.0449989500357988,78,990,31,588
with_billing_zip,LogisticRegression_SMOTE,resampled,0.26,0.13039934800325997,0.7339449541284404,0.07155635062611806,0.36751630112625966,0.5380751386611784,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.03959690145138777,80,1038,29,540
with_billing_zip,LogisticRegression_SMOTE,resampled,0.28,0.13028169014084506,0.6788990825688074,0.07205452775073028,0.4143449911084766,0.537485029243846,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.037765688660124114,74,953,35,625
with_billing_zip,LogisticRegression_SMOTE,resampled,0.16,0.12915601023017903,0.926605504587156,0.06941580756013746,0.19264967397747482,0.5342786711782421,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.04893788916266763,101,1354,8,224
with_billing_zip,LogisticRegression_SMOTE,resampled,0.24,0.12903225806451613,0.7706422018348624,0.07041072925398156,0.3278008298755187,0.5339269310821968,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.03665705949185175,84,1109,25,469
with_billing_zip,LogisticRegression_SMOTE,resampled,0.17,0.1289902280130293,0.908256880733945,0.0694249649368864,0.2074688796680498,0.5336594923314846,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.04576403289470657,99,1327,10,251
with_billing_zip,LogisticRegression_SMOTE,resampled,0.23,0.12874251497005987,0.7889908256880734,0.07008964955175224,0.3100177830468287,0.5329618260252789,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.03639207423144982,86,1141,23,437
with_billing_zip,LogisticRegression_SMOTE,resampled,0.25,0.12846946867565423,0.7431192660550459,0.0703125,0.34854771784232363,0.5322060208602226,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.034027550203710843,81,1071,28,507
with_billing_zip,LogisticRegression_SMOTE,resampled,0.15,0.12830188679245283,0.9357798165137615,0.0688723835246455,0.17842323651452283,0.5309444076231672,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.04646947627985482,102,1379,7,199
with_billing_zip,LogisticRegression_SMOTE,resampled,0.22,0.12809315866084425,0.8073394495412844,0.06956521739130435,0.28986366330764674,0.5307292938454204,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.034885731683685216,88,1177,21,401
with_billing_zip,LogisticRegression_SMOTE,resampled,0.19,0.1278600269179004,0.8715596330275229,0.06899055918663761,0.23177237700059278,0.5295694236113534,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.037539785438655174,95,1282,14,296
with_billing_zip,LogisticRegression_SMOTE,resampled,0.2,0.12672176308539945,0.8440366972477065,0.06850335070737155,0.24836988737403676,0.5256305159242335,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.03127784799833934,92,1251,17,327
with_billing_zip,LogisticRegression_SMOTE,resampled,0.14,0.1266294227188082,0.9357798165137615,0.06790945406125166,0.16597510373443983,0.5242904152277299,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.038221775066986645,102,1400,7,178
with_billing_zip,LogisticRegression_SMOTE,resampled,0.18,0.12591119946984758,0.8715596330275229,0.06785714285714285,0.21813870776526378,0.5222817176544459,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.029156839392013086,95,1305,14,273
with_billing_zip,LogisticRegression_SMOTE,resampled,0.12,0.12583995113011606,0.944954128440367,0.06740837696335078,0.15174866627148784,0.520956151672655,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.035265336956418765,103,1425,6,153
with_billing_zip,LogisticRegression_SMOTE,resampled,0.13,0.12553846153846154,0.9357798165137615,0.06728232189973615,0.15767634854771784,0.5198544202974384,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.03234493624422053,102,1414,7,164
with_billing_zip,LogisticRegression_SMOTE,resampled,0.21,0.125,0.8073394495412844,0.06774441878367975,0.2697095435684647,0.5199561633004268,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.023315962858492315,88,1211,21,367
with_billing_zip,LogisticRegression_SMOTE,resampled,0.11,0.12484848484848485,0.944954128440367,0.06683971447112265,0.14404267931238884,0.5168370135230985,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.02944313549326047,103,1438,6,140
