variant,family,model_name,train_kind,threshold,f1,f2,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn,predicted_positive_rate
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.61,0.1417910447761194,0.15966386554621848,0.1743119266055046,0.11949685534591195,0.8636633076467102,0.5427960139998372,0.5841240218136998,0.10114705953618708,0.07201779590406396,19,140,90,1438,0.0942501481920569
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.62,0.13333333333333333,0.14109347442680775,0.14678899082568808,0.12213740458015267,0.8767042086544161,0.5369559656283067,0.5841240218136998,0.10114705953618708,0.06789547866104861,16,115,93,1463,0.07765263781861292
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.63,0.14018691588785046,0.13863216266173753,0.13761467889908258,0.14285714285714285,0.8909306461173682,0.5402902291833815,0.5841240218136998,0.10114705953618708,0.0819971188495595,15,90,94,1488,0.06224066390041494
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.64,0.15306122448979592,0.14340344168260039,0.13761467889908258,0.1724137931034483,0.9016004742145821,0.5459936512366136,0.5841240218136998,0.10114705953618708,0.10225275407763448,15,72,94,1506,0.051570835803200946
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.65,0.1590909090909091,0.13916500994035785,0.12844036697247707,0.208955223880597,0.9122703023117961,0.5474267741072778,0.5841240218136998,0.10114705953618708,0.1194057995689758,14,53,95,1525,0.03971547125074096
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.66,0.1566265060240964,0.13184584178498987,0.11926605504587157,0.22807017543859648,0.91701244813278,0.545691329170591,0.5841240218136998,0.10114705953618708,0.12433669122381831,13,44,96,1534,0.033787788974510964
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.67,0.14012738853503184,0.11363636363636363,0.10091743119266056,0.22916666666666666,0.919976289270895,0.5387350147091313,0.5841240218136998,0.10114705953618708,0.11454875513158495,11,37,98,1541,0.02845287492590397
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.68,0.1111111111111111,0.08492569002123142,0.07339449541284404,0.22857142857142856,0.9241256668642561,0.5281421146265741,0.5841240218136998,0.10114705953618708,0.09707657112128726,8,27,101,1551,0.02074688796680498
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.69,0.08823529411764706,0.06479481641468683,0.05504587155963303,0.2222222222222222,0.9264967397747481,0.5208689433843793,0.5841240218136998,0.10114705953618708,0.08176383983477893,6,21,103,1557,0.016004742145820983
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.7,0.07633587786259542,0.05458515283842795,0.045871559633027525,0.22727272727272727,0.9282750444576171,0.5175492145440169,0.5841240218136998,0.10114705953618708,0.07605643557532236,5,17,104,1561,0.013040901007705987
