column_ko,column_description,group,rows,yes_count,no_count,yes_rate,no_rate,yes_rate_percent,no_rate_percent,path
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6260,43,4,39,0.09302325581395349,0.9069767441860465,9.30232558139535,90.69767441860465,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6260_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4700,184,17,167,0.09239130434782608,0.907608695652174,9.239130434782608,90.76086956521739,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4700_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6800,33,3,30,0.09090909090909091,0.9090909090909091,9.090909090909092,90.9090909090909,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6800_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4224,11,1,10,0.09090909090909091,0.9090909090909091,9.090909090909092,90.9090909090909,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4224_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4579,11,1,10,0.09090909090909091,0.9090909090909091,9.090909090909092,90.9090909090909,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4579_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,8900,11,1,10,0.09090909090909091,0.9090909090909091,9.090909090909092,90.9090909090909,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_8900_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4330,23,2,21,0.08695652173913043,0.9130434782608695,8.695652173913043,91.30434782608695,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4330_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6450,85,7,78,0.08235294117647059,0.9176470588235294,8.235294117647058,91.76470588235294,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6450_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4580,13,1,12,0.07692307692307693,0.9230769230769231,7.6923076923076925,92.3076923076923,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4580_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4004,310,23,287,0.07419354838709677,0.9258064516129032,7.419354838709677,92.58064516129032,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4004_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6600,232,17,215,0.07327586206896551,0.9267241379310345,7.327586206896551,92.67241379310344,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6600_churn.csv
